iter	Passed	Remaining
0	3	300
1	7	346
2	10	347
3	11	282
4	13	247
5	14	221
6	15	202
7	16	188
8	17	176
9	18	167
10	19	159
11	20	152
12	21	146
13	23	141
14	24	139
15	25	136
16	27	132
17	28	128
18	29	124
19	30	121
20	31	118
21	32	115
22	33	112
23	34	110
24	35	107
25	37	105
26	38	103
27	39	101
28	40	99
29	41	97
30	43	95
31	44	93
32	45	91
33	46	89
34	47	88
35	48	86
36	49	84
37	50	82
38	51	81
39	53	80
40	54	78
41	55	76
42	56	74
43	57	72
44	58	71
45	59	69
46	60	68
47	61	66
48	62	65
49	63	63
50	64	62
51	66	60
52	67	60
53	68	58
54	69	57
55	70	55
56	72	54
57	73	52
58	74	51
59	75	50
60	76	48
61	77	47
62	78	46
63	79	44
64	81	43
65	82	42
66	83	41
67	84	39
68	85	38
69	86	37
70	87	35
71	88	34
72	90	33
73	91	32
74	92	30
75	93	29
76	94	28
77	95	26
78	96	25
79	98	24
80	99	23
81	100	22
82	101	20
83	102	19
84	103	18
85	104	17
86	105	15
87	106	14
88	108	13
89	109	12
90	110	10
91	111	9
92	112	8
93	113	7
94	114	6
95	115	4
96	117	3
97	118	2
98	119	1
99	120	0
